year;age;dx;
1986;92;295;
1986;93;430;
1986;94;383;
1986;95;269;
1986;96;171;
1986;97;136;
1986;98;104;
1986;99;63;
1986;100;50;
1986;101;24;
1986;102;11;
1986;103;6;
1986;104;6;
1986;105;3;
1986;107;1;
1987;92;265;
1987;93;435;
1987;94;370;
1987;95;266;
1987;96;188;
1987;97;122;
1987;98;71;
1987;99;71;
1987;100;31;
1987;101;19;
1987;102;14;
1987;103;8;
1987;104;6;
1987;105;5;
1987;107;2;
1987;109;1;
1988;92;265;
1988;93;414;
1988;94;352;
1988;95;278;
1988;96;215;
1988;97;151;
1988;98;96;
1988;99;61;
1988;100;35;
1988;101;28;
1988;102;13;
1988;103;6;
1988;104;6;
1988;105;6;
1988;106;2;
1988;107;1;
1989;92;262;
1989;93;454;
1989;94;337;
1989;95;277;
1989;96;224;
1989;97;156;
1989;98;109;
1989;99;60;
1989;100;44;
1989;101;24;
1989;102;16;
1989;103;9;
1989;104;3;
1989;105;2;
1989;106;1;
1989;107;1;
1990;92;292;
1990;93;450;
1990;94;365;
1990;95;281;
1990;96;184;
1990;97;142;
1990;98;115;
1990;99;60;
1990;100;52;
1990;101;25;
1990;102;22;
1990;103;21;
1990;104;4;
1990;105;2;
1990;106;1;
1991;92;284;
1991;93;467;
1991;94;389;
1991;95;302;
1991;96;202;
1991;97;168;
1991;98;124;
1991;99;57;
1991;100;42;
1991;101;21;
1991;102;19;
1991;103;10;
1991;104;5;
1991;105;3;
1991;107;1;
1992;92;261;
1992;93;471;
1992;94;370;
1992;95;275;
1992;96;205;
1992;97;143;
1992;98;106;
1992;99;76;
1992;100;60;
1992;101;27;
1992;102;11;
1992;103;14;
1992;104;8;
1992;106;1;
1992;107;3;
1992;108;1;
1993;92;305;
1993;93;495;
1993;94;394;
1993;95;271;
1993;96;208;
1993;97;149;
1993;98;113;
1993;99;70;
1993;100;60;
1993;101;29;
1993;102;15;
1993;103;5;
1993;104;8;
1993;105;4;
1994;92;299;
1994;93;474;
1994;94;350;
1994;95;269;
1994;96;232;
1994;97;141;
1994;98;111;
1994;99;74;
1994;100;32;
1994;101;22;
1994;102;15;
1994;103;6;
1994;104;6;
1994;105;3;
1994;106;1;
1994;107;3;
1995;92;284;
1995;93;458;
1995;94;383;
1995;95;266;
1995;96;213;
1995;97;152;
1995;98;117;
1995;99;62;
1995;100;50;
1995;101;40;
1995;102;24;
1995;103;7;
1995;104;5;
1995;105;6;
1996;92;285;
1996;93;494;
1996;94;417;
1996;95;247;
1996;96;192;
1996;97;144;
1996;98;78;
1996;99;64;
1996;100;50;
1996;101;30;
1996;102;22;
1996;103;12;
1996;104;4;
1996;105;4;
1997;92;283;
1997;93;473;
1997;94;384;
1997;95;302;
1997;96;214;
1997;97;143;
1997;98;104;
1997;99;57;
1997;100;47;
1997;101;22;
1997;102;17;
1997;103;4;
1997;104;7;
1997;105;2;
1997;106;1;
1997;107;1;
1998;92;303;
1998;93;513;
1998;94;347;
1998;95;299;
1998;96;220;
1998;97;146;
1998;98;90;
1998;99;70;
1998;100;49;
1998;101;27;
1998;102;18;
1998;103;9;
1998;104;2;
1998;105;2;
1998;109;1;
1999;92;350;
1999;93;509;
1999;94;391;
1999;95;297;
1999;96;240;
1999;97;157;
1999;98;108;
1999;99;66;
1999;100;46;
1999;101;31;
1999;102;8;
1999;103;8;
1999;104;2;
1999;105;2;
1999;106;1;
1999;107;2;
2000;92;311;
2000;93;448;
2000;94;406;
2000;95;306;
2000;96;209;
2000;97;159;
2000;98;93;
2000;99;78;
2000;100;40;
